,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tannealing
5744,0.6827000000000001,0.0,0.0296,0.0449,0.0968,0.0,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.7477783203125
5745,0.5982999999999999,0.0,0.1602,0.0515,0.0323,0.0,0.0,0.1577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.15
5746,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,806.9206909179687
5747,0.5205479452054794,0.0,0.0,0.0,0.0,0.0,0.0,0.1932806719328066,0.0,0.2861713828617138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.15
5748,0.6998000000000001,0.0,0.045,0.0309,0.0864,0.0,0.0,0.0359,0.0674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,953.15
5749,0.6693000000000001,0.01,0.0609,0.01,0.0,0.0,0.0,0.1798,0.015,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,832.15
5750,0.6709999999999999,0.0,0.103,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,1057.15
5751,0.5822999999999999,0.1449,0.0542,0.0,0.0,0.1421,0.0,0.0,0.0,0.0226,0.0,0.0,0.0,0.0,0.0,0.0260999999999999,0.0,0.0097,0.0181,0.0,912.15
5752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,601.3383850097656
5753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,840.8489135742187
5754,0.7222,0.0,0.0996,0.0306999999999999,0.0201,0.0,0.0,0.1268999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.15
5755,0.6440000000000001,0.0,0.0,0.0,0.0419,0.0222,0.0,0.0,0.0296,0.0731,0.0,0.1871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.1108154296875
5756,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.15
5757,0.0,0.0,0.027,0.0,0.0,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589,0.0,664.75
5758,0.6783,0.0,0.1165,0.0,0.1823,0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.15
5759,0.696,0.0,0.0,0.0,0.0,0.0,0.032,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.8645690917969
5760,0.75,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.15
5761,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,860.1507934570312
5762,0.6179,0.1556,0.0855,0.0,0.0,0.0,0.0429,0.0806,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.15
5763,0.2289999999999999,0.4195,0.0204,0.0,0.0,0.1414,0.0,0.0,0.0974,0.0922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.15
5764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,702.15
5765,0.6947305269473053,0.0,0.0071992800719928,0.0444955504449555,0.0980901909809019,0.0,0.0,0.1554844515548445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.4506591796875
5766,0.8061999999999999,0.0,0.0,0.0,0.0,0.0339999999999999,0.0,0.0600999999999999,0.0395999999999999,0.0,0.0,0.0600999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.7381652832031
5767,0.7273999999999999,0.0087,0.0116999999999999,0.0293,0.0966,0.0,0.0,0.1191,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.7391723632812
5768,0.5236,0.0565,0.0386,0.0586,0.0407,0.1344,0.0,0.0,0.0,0.0289999999999999,0.06,0.0,0.0,0.0,0.0,0.0394,0.0,0.0192,0.0,0.0,951.15
5769,0.4877,0.183,0.0125,0.0,0.0113999999999999,0.0083,0.0852,0.0822,0.027,0.0704,0.0,0.0,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,742.15
5770,0.6990000000000001,0.0,0.15,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.15
5771,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.20078125
5772,0.5981000000000001,0.0,0.1602,0.0341,0.049,0.0,0.0,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.15
5773,0.6468,0.0,0.1841,0.0,0.1045,0.0596999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.15
5774,0.0,0.0,0.053,0.0,0.0,0.3979999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549,0.0,768.75
5775,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,693.15
5776,0.4781478147814782,0.2182218221822182,0.0171017101710171,0.0,0.0187018701870187,0.258025802580258,0.0,0.007000700070007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.6076416015625
5777,0.645,0.0,0.09,0.062,0.168,0.0,0.0,0.025,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.15
5778,0.6604660466046605,0.0,0.0,0.0,0.1306130613061306,0.0119011901190119,0.0,0.197019701970197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.8765625
5779,0.6718000000000001,0.038,0.1291,0.024,0.0,0.0,0.0,0.1362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.15
5780,0.83,0.11,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.5538696289062
5781,0.6679999999999999,0.004,0.0235,0.129,0.024,0.0,0.0,0.0,0.136,0.0,0.0144999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.30234375
5782,0.5922999999999999,0.2065,0.0552,0.0,0.0,0.0,0.0889,0.0,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138,0.0,0.0,851.15
5783,0.67,0.0,0.071,0.064,0.04,0.0,0.0,0.136,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.15
5784,0.8826999999999999,0.0,0.0077,0.0,0.0,0.0,0.0,0.1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.15
5785,0.7140000000000001,0.0,0.0117,0.0591,0.0744,0.0,0.0,0.1345,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.15
5786,0.736,0.0,0.0,0.0,0.0898,0.0,0.0,0.1016,0.0521999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204,0.0,0.0,827.15
5787,0.1009999999999999,0.715,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.8573059082031
5788,0.6958,0.0,0.0,0.0,0.1006,0.0,0.0,0.0,0.1544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492,0.0,0.0,966.15
5789,0.7996,0.0,0.1003999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.15
5790,0.7687999999999999,0.0,0.0161,0.0,0.0,0.0,0.0,0.0833,0.0596,0.0,0.0,0.0718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.15
5791,0.7649841482563082,0.0,0.0076008360919701,0.0,0.0,0.0,0.0,0.0880096810649171,0.0413045434997849,0.0,0.0,0.0977107481823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.1858276367188
5792,0.67,0.065,0.095,0.048,0.0,0.0,0.0,0.114,0.0069999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.15
5793,0.0,0.7190000000000001,0.0,0.0,0.0,0.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.7112182617187
5794,0.7086,0.0,0.1028999999999999,0.1225,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.15
5795,0.6517000000000001,0.0549,0.0415,0.0,0.1206,0.0,0.0118999999999999,0.0289999999999999,0.0,0.0,0.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0339,0.0,0.0,936.15
5796,0.653,0.072,0.114,0.053,0.019,0.0,0.0,0.062,0.008,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.15
5797,0.7383,0.0,0.0934,0.0394,0.1132,0.0,0.0,0.0,0.0,0.0,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.15
5798,0.6022,0.0962,0.1084,0.0,0.1553,0.0,0.0,0.0,0.0,0.0,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.15
5799,0.652,0.0619,0.1046,0.0,0.0774,0.0,0.0,0.0,0.0625,0.0,0.0409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.15
5800,0.0,0.7,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.1154541015625
5801,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.5524353027344
5802,0.6584000000000001,0.0,0.1452,0.0,0.0,0.0,0.072,0.0757,0.0,0.0487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.15
5803,0.2939,0.7056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.15
5804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666833316668333,0.0,0.0,0.0,0.0,0.0,0.1666833316668333,0.0,0.0,0.0,0.0,0.6666333366663334,0.0,728.15
5805,0.6666,0.0,0.113,0.0365,0.0315,0.0,0.0,0.1079,0.0279,0.0,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.15
5806,0.6568,0.0768,0.1232,0.0497,0.0596999999999999,0.0,0.0,0.0,0.0,0.0,0.0338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.15
5807,0.0,0.0,0.0,0.0,0.1503,0.0,0.0705,0.0799,0.0503,0.2318,0.0,0.0873,0.0,0.0,0.0,0.0,0.0,0.0,0.3298,0.0,580.15
5808,0.61,0.0,0.17,0.0,0.07,0.0,0.0,0.104,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.15
5809,0.6,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.15
5810,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.4201416015625
