,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,E
5360,0.6565656565656566,0.0,0.1445144514451445,0.0,0.0,0.0,0.0,0.1497149714971497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492049204920492,0.0,0.0,0.0,0.0,70.80000305175781
5361,0.7430000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.0532,0.0,0.0,0.1779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
5362,0.6356,0.0,0.0,0.0,0.0,0.0,0.0,0.0269,0.0295,0.0,0.0,0.3063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.900001525878906
5363,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
5364,0.6324000000000001,0.0,0.1163,0.1494,0.0868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141999999999999,0.0,0.0,0.0,0.0,0.0,0.0,95.0
5365,0.66,0.0,0.07,0.07,0.08,0.04,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,87.0
5366,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.20000000000001
5367,0.74,0.16,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4000015258789
5368,0.68,0.0,0.07,0.09,0.07,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,83.00000000000001
5369,0.6275000000000001,0.0093,0.1339,0.0645,0.0,0.0,0.0,0.1626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
5370,0.0,0.682,0.091,0.0,0.0,0.0,0.2269999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
5371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,60.99999999999999
5372,0.0,0.6356,0.0,0.0,0.0,0.0,0.0,0.1703,0.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.09999847412109
5373,0.6784864302713945,0.0,0.0846983060338793,0.0593988120237595,0.0,0.0,0.0400991980160396,0.0853982920341593,0.0367992640147197,0.0146997060058798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
5374,0.1075892410758924,0.0,0.0,0.0,0.0,0.0,0.0,0.1075892410758924,0.0,0.0,0.0,0.0,0.0,0.0220977902209779,0.0,0.0,0.7627237276272374,0.0,0.0,0.0,70.1999969482422
5375,0.4868,0.0,0.0571,0.0645,0.1759,0.0,0.0579999999999999,0.0188,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0189,0.0,0.0,102.0
5376,0.42,0.0,0.025,0.0,0.34,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,104.0
5377,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,47.29999923706055
5378,0.73,0.0,0.12,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.59999999999998
5379,0.0,0.0496950304969503,0.0,0.0,0.0,0.0,0.4468553144685531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4964503549645035,0.0,53.09999847412109
5380,0.626,0.0819999999999999,0.143,0.06,0.036,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.30000305175781
5381,0.65,0.075,0.025,0.05,0.05,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0999984741211
5382,0.5473,0.1677,0.0967,0.0,0.0,0.0,0.093,0.0953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5
5383,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.97
5384,0.622,0.0,0.096,0.206,0.026,0.0,0.045,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.3000030517578
5385,0.6446289257851571,0.1554310862172434,0.0,0.0,0.0,0.0952190438087617,0.0,0.0276055211042208,0.043008601720344,0.0323064612922584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.30000305175781
5386,0.65,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
5387,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,77.09999999999998
5388,0.6474,0.0679,0.1226999999999999,0.0162,0.0428,0.0,0.0,0.0,0.0,0.0,0.0311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712,0.0,65.9000015258789
5389,0.0842,0.0,0.0,0.0,0.0,0.0,0.0,0.0842,0.0,0.0,0.2342,0.0,0.0,0.0,0.0,0.0,0.5974,0.0,0.0,0.0,78.90000152587893
5390,0.7,0.0,0.05,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.49999999999999
5391,0.6464,0.0,0.0758,0.0872,0.0091,0.015,0.0,0.1505,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8
5392,0.2767,0.4451,0.0,0.0,0.0,0.0,0.0,0.0491,0.0496,0.1487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0201,0.0,0.0,56.0
5393,0.0,0.0,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6078,0.0,46.29999999999999
5394,0.5634,0.2817,0.0,0.0,0.0,0.0,0.0,0.1549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000305175781
5395,0.6358,0.0,0.0493,0.0,0.0494,0.0521999999999999,0.0,0.0633,0.0528,0.0,0.0972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.90000000000002
5396,0.5458,0.0,0.0965,0.0,0.193,0.0,0.0,0.1048,0.0599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
5397,0.7022,0.0,0.1541,0.0,0.0,0.0,0.1052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.0,0.0,0.0,83.80000305175781
5398,0.4,0.0,0.15,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,109.2
5399,0.732,0.0,0.07,0.055,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,74.5999984741211
5400,0.674,0.0,0.135,0.107,0.052,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.2
5401,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.49999999999999
