,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tliq
18112,0.6838136762735254,0.0188003760075201,0.0158003160063201,0.0,0.0986019720394407,0.0,0.01180023600472,0.0293005860117202,0.1064021280425608,0.0160003200064001,0.0,0.0,0.0,0.0,0.0,0.0158003160063201,0.0,0.0,0.00230004600092,0.0,1229.15
18113,0.3827,0.2112,0.0,0.0,0.0,0.4061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337.15
18114,0.6994,0.0,0.127,0.0,0.1732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1782.15
18115,0.6616338366163383,0.0,0.1166883311668833,0.0,0.0,0.0,0.0942905709429057,0.1262873712628737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.15
18116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.2739999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.0,994.15
18117,0.1557999999999999,0.3562999999999999,0.0,0.0,0.1569999999999999,0.0,0.1473,0.0,0.0,0.0687999999999999,0.0,0.0,0.0,0.0336999999999999,0.0441999999999999,0.0,0.0,0.0324999999999999,0.0,0.0,1203.15
18118,0.59,0.04,0.005,0.0,0.03,0.0,0.0,0.125,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,1663.15
18119,0.46,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.15
18120,0.6868000000000001,0.0,0.1557,0.1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.15
18121,0.6697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319.15
18122,0.6167,0.0465,0.1066,0.0693,0.1382,0.0,0.0,0.0,0.0,0.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1432.15
18123,0.8169000000000001,0.0,0.0746,0.0,0.0,0.0,0.0,0.1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.15
18124,0.6499935000649993,0.0919990800091999,0.1249987500124998,0.0249997500024999,0.0999990000099999,0.0079999200007999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483.15
18125,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,876.1500000000001
18126,0.6940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.248,0.0,0.0,0.0,0.0,0.0,0.0579999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1398.15
18127,0.7371000000000001,0.0232,0.0,0.0431,0.0438,0.0,0.0,0.1528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.15
18128,0.7426,0.0914,0.0587,0.0196,0.0753,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.15
18129,0.5,0.0,0.1110999999999999,0.0857,0.3032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.15
18130,0.7142000000000001,0.0,0.0,0.0,0.0323,0.0,0.0,0.2535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.15
18131,0.6203,0.0902,0.1117,0.0519,0.0461,0.02,0.0,0.0412,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.15
18132,0.5695,0.0699,0.1648,0.0,0.0,0.0,0.0,0.1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243.15
18133,0.7568243175682431,0.0,0.053994600539946,0.0,0.0,0.0,0.0,0.0,0.1891810818918108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.15
18134,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,1683.15
