,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,Tmelt
218,0.7247,0.0,0.0200999999999999,0.0,0.0,0.0,0.0,0.2552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.698095703125
219,0.69,0.08,0.11,0.02,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.14951171875
220,0.6682668266826681,0.0,0.0522052205220522,0.033003300330033,0.1187118711871186,0.0347034703470347,0.0111011101110111,0.0215021502150214,0.0368036803680368,0.0,0.0129012901290129,0.0,0.0,0.0,0.0,0.0,0.0,0.0108010801080108,0.0,1824.15048828125
221,0.4617,0.1561,0.0385,0.0191,0.0412,0.0849,0.0,0.0,0.0,0.0294,0.0833,0.0,0.0,0.0,0.0,0.0733,0.0,0.0125,0.0,1426.15
222,0.5061493850614939,0.1921807819218078,0.0193980601939806,0.0,0.0406959304069593,0.0837916208379162,0.0,0.0,0.0,0.028997100289971,0.0821917808219178,0.0,0.0,0.0,0.0,0.0342965703429657,0.0,0.0122987701229877,0.0,1502.21005859375
223,0.6938,0.0,0.0,0.0,0.0978,0.0,0.0,0.1407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677,0.0,1726.389501953125
224,0.6,0.0,0.06,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683.1506103515626
225,0.6496,0.0,0.0718,0.1211,0.0,0.0,0.0,0.1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.15
226,0.626,0.0819999999999999,0.143,0.06,0.036,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869.15
227,0.6859000000000001,0.0,0.0,0.0,0.1113,0.0,0.0,0.2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.1972412109376
228,0.6938,0.0,0.0,0.0,0.0978,0.0,0.0,0.1407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677,0.0,1726.15
229,0.686,0.0,0.143,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.1496337890624
230,0.6631999999999999,0.0,0.0468,0.051,0.0615,0.0,0.0,0.0481,0.0542,0.0,0.0563,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.0,1821.15
231,0.6797,0.1025,0.111,0.065,0.0302999999999999,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1930.150244140625
232,0.6158,0.001,0.0874,0.068,0.0538,0.0223,0.0,0.0608,0.04,0.0,0.0231,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,1835.15
233,0.7292000000000001,0.0,0.0,0.0441,0.0739,0.0,0.0,0.1528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1782.044775390625
234,0.6598,0.0,0.0472,0.0841,0.0286,0.0,0.0,0.1572,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1769.15
235,0.6996,0.0087,0.0077,0.009,0.1275,0.0,0.0,0.131,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.1501220703126
236,0.7217000000000001,0.0,0.0,0.0716,0.0746,0.0,0.0,0.1321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.533544921875
237,0.7452,0.0,0.0,0.0,0.0,0.0,0.0,0.1504,0.0,0.0941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.0,1740.15
238,0.628,0.046,0.107,0.0922,0.0922,0.0346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1825.15
239,0.4868,0.0,0.0571,0.0645,0.1759,0.0,0.0579999999999999,0.0188,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0189,0.0,1462.15
240,0.6315,0.0435,0.109,0.0,0.0,0.0,0.1119999999999999,0.0835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204,0.0,1781.15
