,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tsoft
5833,0.7211,0.0,0.0124,0.0448,0.0623,0.0,0.0101,0.1263,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.15
5834,0.4682438107427107,0.217573891133064,0.0,0.0,0.0,0.0,0.0,0.0581930168379794,0.0382954045514538,0.1772787265528136,0.0,0.016198056233252,0.0225972883254009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.15
5835,0.0,0.0,0.1095,0.0,0.0,0.0,0.0,0.0,0.0,0.3904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,882.15
5836,0.145,0.2413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2493,0.0,0.3513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.15
5837,0.0,0.0,0.1311999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.3683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5005,0.0,876.15
5838,0.5581,0.0803,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2854,0.0,0.0,0.0,0.0,0.0,0.0543,0.0,0.0,1003.15
5839,0.5446,0.0891,0.1386,0.0,0.0,0.0,0.0,0.2277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.15
5840,0.1186,0.2971999999999999,0.0,0.0,0.0,0.0,0.0,0.0062,0.1481,0.4236999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.15
5841,0.6498999999999999,0.0701,0.0999,0.0851,0.0,0.0,0.005,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1169.15
5842,0.6663,0.0,0.1542,0.0215,0.0,0.0,0.0,0.1558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287.15
5843,0.0,0.0,0.0,0.0255,0.0,0.3079,0.0,0.0,0.0,0.0867,0.0978999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1513,0.3307,699.15
5844,0.6607,0.0,0.1737,0.0,0.0,0.0,0.1536,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.15
5845,0.6988,0.0227999999999999,0.0874,0.0473,0.0,0.0,0.0,0.1375,0.0040999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.15
5846,0.1862186218621862,0.3163316331633163,0.049004900490049,0.0,0.0,0.0951095109510951,0.0981098109810981,0.0,0.0,0.2452245224522451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.15
5847,0.0,0.812,0.0,0.0,0.0385,0.0,0.0,0.0,0.111,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.15
5848,0.3007,0.0756,0.0,0.0,0.0,0.0,0.0,0.0412,0.0,0.0184,0.0,0.5397,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,698.15
5849,0.6567000000000001,0.0289999999999999,0.1321,0.0801,0.0621,0.026,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069999999999999,0.0,1258.15
5850,0.1271127112711271,0.2493249324932493,0.0,0.0,0.0,0.0045004500450045,0.1162116211621162,0.0336033603360336,0.0,0.4692469246924693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.15
5851,0.4407999999999999,0.2703,0.0819999999999999,0.0,0.0,0.0,0.0,0.1012,0.0518,0.0,0.0538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.15
5852,0.152,0.355,0.0409999999999999,0.0,0.0,0.123,0.024,0.051,0.0,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.15
5853,0.0583,0.3357,0.0573,0.0,0.0,0.0381,0.0,0.0,0.0,0.2584,0.0,0.2251,0.0,0.0,0.0,0.0146,0.0,0.0,0.0,0.0,808.15
5854,0.465,0.47,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.15
5855,0.742,0.0591,0.0397,0.0,0.0,0.0392,0.0,0.0436,0.0,0.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.15
5856,0.6597659765976597,0.0461046104610461,0.1331133113311331,0.024002400240024,0.0,0.0,0.0,0.1361136113611361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.15
5857,0.1142,0.3379,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.3131,0.0,0.0877999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.15
5858,0.6857,0.0,0.0279,0.0794,0.0399,0.0,0.0,0.1491,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.15
5859,0.6718000000000001,0.038,0.1291,0.024,0.0,0.0,0.0,0.1362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.55
5860,0.6508650865086509,0.0047004700470047,0.1207120712071207,0.0474047404740474,0.0117011701170117,0.0,0.0,0.1275127512751275,0.0349034903490349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.15
5861,0.5446,0.0,0.1604,0.0,0.0,0.0,0.0,0.0,0.0,0.2009,0.0,0.035,0.0,0.0,0.0,0.0573,0.0,0.0,0.0,0.0,998.15
5862,0.12,0.5,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.03,0.02,0.0,0.0,0.04,0.09,0.0,0.0,0.0,0.0,0.0,880.15
5863,0.5161,0.0507,0.0047,0.0,0.0884,0.0,0.0,0.0176,0.018,0.2776,0.0,0.0,0.0,0.0,0.0,0.0246,0.0,0.0,0.0,0.0,912.15
5864,0.3329999999999999,0.376,0.108,0.0,0.0,0.0,0.129,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.15
5865,0.4,0.0,0.0,0.0,0.075,0.15,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.23,0.0,0.05,0.0,0.0,1123.15
5866,0.4145,0.1081999999999999,0.0,0.0,0.0,0.0,0.0,0.0933999999999999,0.0,0.0569,0.0,0.3269999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.15
5867,0.6958,0.0,0.0,0.0,0.1006,0.0,0.0,0.0,0.1544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492,0.0,0.0,1129.15
5868,0.7599999999999999,0.0,0.059,0.0489999999999999,0.0059999999999999,0.0,0.0189999999999999,0.1009999999999999,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.15
5869,0.1525999999999999,0.5414,0.0,0.0,0.0,0.1148,0.0,0.0,0.0993,0.0919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.15
5870,0.4559544045595441,0.0907909209079092,0.0,0.0,0.2410758924107589,0.0,0.0,0.1856814318568143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0264973502649735,0.0,857.15
5871,0.676,0.047,0.108,0.016,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.15
5872,0.48,0.15,0.0,0.0,0.0,0.08,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,866.15
5873,0.4366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4392,0.0,0.0,0.0,0.0346,0.0,0.0896,0.0,0.0,815.15
