,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5
,0.654,0,0,0,0.113,0.,0.,0.233,0,0,0,0,0,0,0,0,0,0,0,0
,0.534,0,0.0213,0.0275,0.0351,0,0,0.187,0.0048,0.0944,0,0,0,0,0,0.0959,0,0,0,0
,0.5087383538766435,0.0,3.924640721651206e-06,1.1671153647684593e-06,0.019833703654129512,0.0,0.0,0.3596590430721218,2.6236066003218476e-05,0.0019544503335281174,0.0,0.0,0.0,0.0,0.0,0.10978312124148758,0.0,0.0,0.0,0.0,2714.6751109945353,75.57721304752212,720.3659057617188,1147.872314453125,0.0
