,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,rho,E,Tg,Tmelt,F
0,0.5000000703834518,0.0,0.020166861364846633,0.0005146631425235589,1.32091652425012e-07,0.0,0.0,0.1810011500485152,0.0053113865234299265,0.12207284829944394,0.0,0.0,0.0,0.0,0.0,0.17093288814613652,0.0,0.0,0.0,0.0,2918.012745958325,77.44644712061596,782.6635301800721,1166.3225885011386,0.7199358120163599
1,0.5000009514001478,0.0,0.00023046913325362175,1.2522705132207892e-06,0.02128081165219962,0.0,0.0,0.3859005099652472,2.815030358653778e-05,0.003871433070835712,0.0,0.0,0.0,0.0,0.0,0.08868642220421627,0.0,0.0,0.0,0.0,2697.674891253929,75.43336816193207,711.1547758981362,1151.03192220297,0.7193779171893899
2,0.5,0.0,3.0699990136568574e-11,1.186969423137153e-06,0.020171099186656504,0.0,0.0,0.365777282836191,2.6682373541887664e-05,0.006618338096322774,0.0,0.0,0.0,0.0,0.0,0.10740541050716475,0.0,0.0,0.0,0.0,2720.6294720588758,75.7031513216805,720.2485258394288,1155.809043974487,0.7178281164768601
3,0.5000711783037741,0.0,9.976801728661862e-14,1.186799522933857e-06,0.0201682119397016,0.0,0.0,0.3657249262771226,2.6678554285383818e-05,0.006617781393288539,0.0,0.0,0.0,0.0,0.0,0.10739003673220505,0.0,0.0,0.0,0.0,2720.593250011407,75.70249497109066,720.2638335217746,1155.8460127579035,0.7178029496425196
4,0.5087383538766435,0.0,5.429683133648181e-06,0.00018840257119077193,1.2345188800719617e-05,0.0,0.0,0.22069620176342722,0.00860117041928401,0.10612513039086001,0.0,0.0,0.0,0.0,0.0,0.15563296610666014,0.0,0.0,0.0,0.0,2889.798208944656,78.81028970160887,831.714262606514,1196.7235409962186,0.7083783904383898
5,0.5000009514001478,0.0,0.00026563688309828013,1.1565216944817368e-06,0.019653677134541993,0.0,0.0,0.35639449062687156,2.599792653453457e-05,0.013788092348332117,0.0,0.0,0.0,0.0,0.0,0.10986999715877926,0.0,0.0,0.0,0.0,2731.6465623604477,75.9428881825446,725.0615661266422,1174.7550661395915,0.7076960874626067
6,0.5000009514001478,0.0,0.0002344662925846318,1.1270627031096408e-07,0.00014471834001719637,0.0,0.0,0.27707282529696164,7.167195971847197e-06,0.10197051260973373,0.0,0.0,0.0,0.0,0.0,0.1205692461583128,0.0,0.0,0.0,0.0,2847.47170943714,77.92040728322637,857.7572494892406,1198.4858494925593,0.7030569414973926
7,0.5000544248913287,0.0,0.005686844814166489,9.887014891110243e-08,0.00012695233182847895,0.0,0.0,0.24305862859934912,6.2873319386441545e-06,0.11994074427111893,0.0,0.0,0.0,0.0,0.0,0.1311260188901207,0.0,0.0,0.0,0.0,2881.751676001378,78.54897434800912,879.8786163185575,1210.717993070653,0.6987898277136765
8,0.5000000703834518,0.0,0.015178949605692982,1.1461785446886507e-06,0.019477907905518916,0.0,0.0,0.35320713874270626,2.5765418618998374e-05,0.0035043869751843924,0.0,0.0,0.0,0.0,0.0,0.10860463479028201,0.0,0.0,0.0,0.0,2702.761561144527,76.36657936461565,720.3453050733214,1198.2068759826923,0.6957638176151562
9,0.5000000703834518,0.0,0.018735612229546606,3.8090493438315205e-08,3.6433006688852585e-06,0.0,0.0,0.27769018157327624,1.1448348933266712e-05,0.0887712109902102,0.0,0.0,0.0,0.0,0.0,0.11478779508341953,0.0,0.0,0.0,0.0,2808.0600594040957,77.55884916828462,864.5781225292803,1215.84392160499,0.6909840235529541
10,0.5000000703834518,0.0,0.01835259765863659,1.1943227442070673e-07,0.00015335473750444518,0.0,0.0,0.29360777900010165,7.594914761839714e-06,0.08784542877637397,0.0,0.0,0.0,0.0,0.0,0.10003305509689525,0.0,0.0,0.0,0.0,2791.3215569734675,76.36701003194712,844.690569234586,1212.8763528771785,0.6870297883953667
11,0.5000009514001478,0.0,0.0002690435016574079,1.125173295441096e-06,0.01912094928657401,0.0,0.0,0.3467341472356793,2.5293232987390116e-05,0.04443267505599791,0.0,0.0,0.0,0.0,0.0,0.08941581511366078,0.0,0.0,0.0,0.0,2748.4147972419555,75.76850962283696,743.2409562263442,1212.9778223013536,0.6840962169459277
12,0.5087383538766435,0.0,5.9996456128549984e-06,1.0840472832224042e-06,0.018422062815326615,0.0,0.0,0.33406072809781917,2.4368744454730942e-05,0.034504871815112456,0.0,0.0,0.0,0.0,0.0,0.10424253095774744,0.0,0.0,0.0,0.0,2749.830857099242,76.37814162096151,749.1190614003565,1218.1356865918674,0.6839511414287023
