,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,rho,E,Tg,Tmelt,F
0,0.55,0.0,3.472140478408903e-32,0.03464945797575407,0.04228353423108119,0.0,0.0,0.08500086646828822,0.25478026882690236,0.022418888778054518,0.0,0.0,0.0,0.0,0.0,0.010866983719919596,0.0,0.0,0.0,0.0,2588.6645982045375,58.62312608314611,719.9837646484375,1207.8765869140625,0.7259779797712338
1,0.55,0.0,3.050176892325524e-32,0.03454711453006846,0.04215864215940719,0.0,0.0,0.08474980102401161,0.25402772918767647,0.024234628082250416,0.0,0.0,0.0,0.0,0.0,0.010282085016585797,0.0,0.0,0.0,0.0,2591.2655622446146,59.08151153304633,720.7958374023438,1208.65869140625,0.7259617909324017
2,0.55,0.0,6.890632545675341e-10,0.03457493600076195,0.04219259334297979,0.0,0.0,0.08481805170536488,0.25423230271339803,0.023687410858797987,0.0,0.0,0.0,0.0,0.0,0.010494704689634086,0.0,0.0,0.0,0.0,2590.5082583988196,58.93491501599972,720.6079711914062,1208.4224853515625,0.725955490791833
3,0.5500309450218078,0.0,8.276816917678033e-06,0.034627397389180775,0.04225661318752022,0.0,0.0,0.08494674819103147,0.25461805554836986,0.022525831270017498,0.0,0.0,0.0,0.0,0.0,0.01098613257515465,0.0,0.0,0.0,0.0,2588.921881138662,58.61646988811096,720.3077392578125,1208.333740234375,0.7255918914346309
4,0.550000499459924,0.0,5.6468102868599105e-06,0.0346613329949775,0.04229802559144187,0.0,0.0,0.08502999785972372,0.2548675868043492,0.021729873191727884,0.0,0.0,0.0,0.0,0.0,0.011407037287568941,0.0,0.0,0.0,0.0,2587.9133172462866,58.378134827251884,720.182373046875,1208.3623046875,0.7252414394346136
5,0.55,0.0,3.4846375081878196e-32,0.03450826684262924,0.04211123542875113,0.0,0.0,0.08465450120446084,0.2537420789978237,0.023879123090962493,0.0,0.0,0.0,0.0,0.0,0.011104794435372581,0.0,0.0,0.0,0.0,2591.2787659703263,58.82880222716067,721.746337890625,1209.8077392578125,0.724667696925881
6,0.5502447429084448,0.0,0.00013727170413005538,0.03441785408593302,0.04200090265253955,0.0,0.0,0.08443270371878749,0.2530772666803391,0.025953825231838406,0.0,0.0,0.0,0.0,0.0,0.009735433017987563,0.0,0.0,0.0,0.0,2593.6797391876685,59.54218476842282,722.0181884765625,1211.5440673828125,0.7242144277566097
7,0.5500082128592004,0.0,1.2190707732552828e-10,0.0344142380986243,0.0419964899796702,0.0,0.0,0.08442383310226602,0.2530506780330006,0.02540745281054529,0.0,0.0,0.0,0.0,0.0,0.010699094994786157,0.0,0.0,0.0,0.0,2593.527991459848,59.1929767180204,722.572265625,1211.099609375,0.724101947400845
8,0.55,0.0,3.488697629252007e-32,0.034460106408265606,0.042052464137828684,0.0,0.0,0.0845363556723355,0.25338795142611475,0.024310383920409934,0.0,0.0,0.0,0.0,0.0,0.011252738435045479,0.0,0.0,0.0,0.0,2592.10818298168,58.87168424731557,722.392578125,1210.626708984375,0.7240512087944975
9,0.55,0.0,3.49408949707885e-32,0.03439826374564877,0.041976996107606405,0.0,0.0,0.08438464536532826,0.2529332173226978,0.025401077706749667,0.0,0.0,0.0,0.0,0.0,0.010905799751969023,0.0,0.0,0.0,0.0,2593.6732333505192,59.14442023453007,722.88818359375,1211.47021484375,0.7237297544696504
