,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,rho,E,Tg,Tmelt,F
23,0.39759347484825014,0.0,0.025990555512864277,0.0325597702586361,0.03151694952437084,0.0,0.0,0.15858950616753414,0.023513685401142684,0.25664343552645585,0.0,0.0,0.0,0.0,0.0,0.07359262276074605,0.0,0.0,0.0,0.0,3065.0352551393667,79.67192035870296,778.1321721764912,1263.6403643733497,0.7405107074518602
24,0.3993822105265926,0.0,0.025059998410120157,0.03339992610725427,0.03629838819135879,0.0,0.0,0.15588025670120587,0.02206061908219581,0.2600053984674974,0.0,0.0,0.0,0.0,0.0,0.06791320251377517,0.0,0.0,0.0,0.0,3070.346040429896,80.34395732739925,777.2547908364207,1268.9591956600527,0.7400885586194454
25,0.3680920009608683,0.0,0.017270418040856828,0.002037090052313089,0.0363170649971175,0.0,0.0,0.1775329827281794,0.023163214999732888,0.2683695428180141,0.0,0.0,0.0,0.0,0.0,0.10721768540291786,0.0,0.0,0.0,0.0,3092.658137633326,69.57200924694999,777.0239497907353,1190.817672990675,0.7398283854350479
26,0.39742886130749,0.0,0.03056771447860438,0.03269187951409147,0.030955253873333102,0.0,0.0,0.158370094562253,0.02277728379755988,0.2510613556695262,0.0,0.0,0.0,0.0,0.0,0.07614755679714205,0.0,0.0,0.0,0.0,3058.3397697293904,80.41813433318845,781.05465389838,1269.9075318343266,0.73968508168943
27,0.3975692668772663,0.0,0.030846779783553428,0.030349317205316112,0.0229564717306669,0.0,0.0,0.16024091476660282,0.02718445965192025,0.25339164103746237,0.0,0.0,0.0,0.0,0.0,0.07746114894721184,0.0,0.0,0.0,0.0,3053.181324856641,79.12441970182215,782.1424859728863,1261.3076760816527,0.738878386691667
28,0.40366415255085986,0.0,0.02926360788333127,0.03553015170397071,0.03278661492979176,0.0,0.0,0.1574130532554626,0.020619555125540083,0.25419110980622595,0.0,0.0,0.0,0.0,0.0,0.0665317547448179,0.0,0.0,0.0,0.0,3057.782462475765,81.70303248425084,781.9196874399959,1280.3692481638059,0.7385891020702258
29,0.3977172866645884,0.0,0.028284305944551995,0.023853541761287966,0.060963174912473085,0.0,0.0,0.14189390403317587,0.016352809453050524,0.2746773817751431,0.0,0.0,0.0,0.0,0.0,0.056257595455729184,0.0,0.0,0.0,0.0,3103.7977583214797,80.95654595269805,780.9712090909059,1275.323039185929,0.7382066166106882
30,0.38750549152166647,0.0,0.023956201968759624,0.006475219977267726,0.019751151124803086,0.0,0.0,0.18091399425193955,0.03175718899001443,0.25257176783254864,0.0,0.0,0.0,0.0,0.0,0.09706898433300057,0.0,0.0,0.0,0.0,3044.230739610062,70.9030725859905,789.2935056580474,1202.6950181068535,0.737665888627424
31,0.4019737325952042,0.0,0.024360969100409257,0.03549303331159786,0.021401949133557932,0.0,0.0,0.16241086024678728,0.026780474758016794,0.25331112959201063,0.0,0.0,0.0,0.0,0.0,0.07426785126241606,0.0,0.0,0.0,0.0,3052.007450999762,79.11056667043357,780.9346216372525,1262.5451416957599,0.7375563202062387
32,0.40324677488818816,0.0,0.023015300430532973,0.03845866227814003,0.03447404539721638,0.0,0.0,0.15441212712824562,0.023190692538889383,0.2582774831461274,0.0,0.0,0.0,0.0,0.0,0.06492491419265992,0.0,0.0,0.0,0.0,3066.444636310368,80.91921295138707,777.1709573573245,1276.4872263201032,0.7367881108004185
33,0.3985537675360178,0.0,0.029522103296275994,0.03648293444023396,0.028758494985221796,0.0,0.0,0.16041978053532824,0.023293966845488824,0.24631087442981398,0.0,0.0,0.0,0.0,0.0,0.07665807793161951,0.0,0.0,0.0,0.0,3050.7749406580247,80.6389868634695,781.0396302452966,1274.7014004048144,0.736537356535274
34,0.40300080776372815,0.0,0.022390759866182403,0.0353817185172533,0.026936066945536536,0.0,0.0,0.1623908068528354,0.023628337590254688,0.25195959839883214,0.0,0.0,0.0,0.0,0.0,0.07431190406537733,0.0,0.0,0.0,0.0,3055.615404662256,79.3363969109782,779.6327137179891,1265.4468616505164,0.7363135883049798
35,0.4049298584656403,0.0,0.025254492030581104,0.02811351570146652,0.04972143346301021,0.0,0.0,0.14019161159520818,0.01826153125854203,0.2661504730152163,0.0,0.0,0.0,0.0,0.0,0.06737708447033543,0.0,0.0,0.0,0.0,3097.7872947528126,80.69326267594528,782.7068894892946,1275.5152828513947,0.7361236062771767
36,0.4012257008206875,0.0,0.031131709528074113,0.024820548034382686,0.05032574073241193,0.0,0.0,0.1398435310505594,0.018247544064323128,0.2648573206667555,0.0,0.0,0.0,0.0,0.0,0.06954790510280592,0.0,0.0,0.0,0.0,3095.8554310397526,80.74063272895769,784.5270162720296,1276.1036077855406,0.7358830233014856
37,0.40915235320063925,0.0,0.026787340518991953,0.020617088251072873,0.050859124409227116,0.0,0.0,0.13525760322581076,0.013377491916409131,0.2705265693421285,0.0,0.0,0.0,0.0,0.0,0.07342242913572036,0.0,0.0,0.0,0.0,3116.6016287711436,80.03755910067655,790.6833505318014,1271.0810360605938,0.7357893410799281
38,0.39897209604026024,0.0,0.029602737965097766,0.03357754733437423,0.028298893710172912,0.0,0.0,0.16086053479267026,0.024403521735143707,0.2500871683611939,0.0,0.0,0.0,0.0,0.0,0.07419750006108708,0.0,0.0,0.0,0.0,3051.1488490263387,80.04000664988189,780.3651280174862,1271.661242242466,0.7352337700130575
39,0.39755622385800293,0.0,0.03025977284508056,0.02345163162587246,0.056328561986019404,0.0,0.0,0.14137975575541628,0.015522643339703917,0.26370300255005796,0.0,0.0,0.0,0.0,0.0,0.0717984080398464,0.0,0.0,0.0,0.0,3101.0248368733655,80.43299215314227,783.6536487139024,1274.6324958652208,0.7351242520240984
40,0.3814837166910633,0.0,0.03675522016976356,0.008684795832364459,0.06363163215565412,0.0,0.0,0.15504426568975965,0.01294085485517828,0.2772139220781811,0.0,0.0,0.0,0.0,0.0,0.06424559252803566,0.0,0.0,0.0,0.0,3101.7866933535624,78.73047674582645,777.3245424436716,1262.3661996022852,0.7350001138032487
