,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,rho,E,Tg,Tm
0,0.3865303574199174,0.012105197055364742,2.0119381907466572e-07,0.1986406025919661,7.053662088638303e-07,0.0001596164472820201,1.408270050808032e-05,0.13760972985293365,4.282297063307711e-06,0.06439385624887446,4.80053890646549e-05,4.350590802423144e-05,8.37088498908453e-05,7.115462872349302e-06,0.0005711344930139364,0.08013673163406859,5.322403184552848e-05,2.816683262735299e-05,0.11956977622465474,0.0,2730.9481782565776,77.80476914637147,546.3306887620595,1275.7518628556413
1,2.736110017108371e-09,2.184578417409951e-09,0.13814703050144989,1.632166376574312e-05,0.0002971019739287466,2.980364053052184e-07,1.1579972201796716e-07,7.73189287758978e-07,2.9458639888064465e-07,0.12620094761504547,9.295447759437508e-10,2.132773887558287e-10,1.10969601686592e-11,1.915686441421252e-06,3.055212612485133e-08,9.867979978666623e-06,2.911277750242981e-05,0.00447533549870798,0.7308208480646321,0.0,2695.6522965661306,69.06873720081386,573.1130411867545,1277.4173005568623
2,0.4816314106781279,0.0036673120592385974,0.000276691582211231,0.03845277507966209,0.06750962430891815,0.0269563064392866,0.0011988946431079155,4.5694810373859915e-05,0.06137691660864564,0.000649478892559152,0.0042595233588516475,0.05053810540816818,0.010741976424253253,0.007363304572742591,9.192154393487886e-05,0.00028808037128371164,0.04578017602140086,0.000165740076329503,0.19900606712090418,0.0,2832.5578927998104,70.30071625015997,526.7632476576283,1210.8357127441009
3,3.089966105448213e-08,0.46811926766339745,1.5351761273636895e-05,0.013849632709521305,0.2854113474877557,0.0007137034646584201,0.15194640142899052,0.0013564406097115599,5.919381887651497e-08,1.6631118269902958e-06,4.495392484260537e-07,0.0037181204774686615,0.00010415516754302848,1.5559526454293544e-08,2.900455522605899e-06,9.297633187218688e-08,5.257545242219867e-05,0.07280205375177502,0.0019057382895461105,0.0,2774.0667710253,98.25113495465497,514.5791098537178,1215.640815750392
4,0.4927228052592542,2.1281930614760713e-05,6.896509416840098e-05,0.0015192863546398638,0.19902098773776192,0.0032323759959601117,0.0019627739844964996,0.000672069635362647,0.012456016545888182,1.0757722558238958e-05,0.00040629734370281525,0.0023300160625976526,0.004062279335652255,2.104098151032866e-05,5.421500424723765e-06,0.00014180369830138587,1.0746792214969428e-05,0.00610779676963346,0.27522727725525736,0.0,2558.69339383902,57.44164291422949,518.8758148399356,1265.2870907596234
5,0.0220845936535548,0.00887316061763519,0.005654962685945524,0.2018391687575407,0.00015959992494771717,0.012360924271591672,3.1314031398160284e-06,0.010141768149371394,0.004854331641029001,7.82532826511643e-05,0.014737262446281242,0.007712902191176808,0.004504349567381052,0.013404888005683402,2.8133946972801186e-06,0.02912648128309914,0.00039934078544725843,2.512251719357437e-06,0.6640595556871074,0.0,2625.2447577373923,64.02869315989298,539.0819256384051,1240.2873404345564
6,0.009366395154222159,0.1851519422524141,0.031146879686003024,0.00792098487207179,0.14715554816898355,0.010159936947213236,0.003151602153317018,0.14169228334440118,0.0016199760110414392,0.027750357829538733,0.003123955312218013,0.010689769220290473,2.38019777414876e-06,0.040344463583265974,1.4932649726678623e-07,0.00034925783870378335,2.9741509921247353e-06,2.4033488584388363e-08,0.3803711199175634,0.0,2823.511554344569,77.09312659194534,512.494320119724,1279.3647375759929
7,0.5412706357855511,0.0008697393531659288,0.0003911590471107133,7.661558788141096e-06,0.20071762149517608,3.340916150819226e-05,0.01015005352202088,4.61388386059962e-06,0.1946485940159307,0.03483487870662843,0.006137669153361072,0.002928060228071759,9.801571869236742e-06,0.0005087995815895934,0.005206532554325031,0.00042487124138655116,6.02596064044017e-05,0.0008922959915925642,0.0009033435416590684,0.0,2752.144749068553,73.41623072504535,585.7581285855174,1230.029551583778
8,0.1938240373528988,5.5754683105487895e-08,1.077963538742178e-06,0.11272076162770901,2.0912173294605878e-06,0.0016279752214490536,7.567084087362934e-06,1.2268570567471686e-07,0.00011689651516795018,0.23586869660250764,6.949346066796845e-08,2.944948310043766e-05,7.388986609159233e-08,3.656240035833307e-05,4.346019235620971e-07,0.08929707343074043,0.01387207185754253,0.00018997368093459923,0.3524050091369966,0.0,2845.156421197015,53.351060888632304,527.7376997353078,1284.5813354968864
9,3.38983590348182e-07,0.011469642296915637,0.19421385754999784,0.18340168707998947,0.13050506591331018,5.256651094078876e-07,5.048360191908883e-08,5.6671259820084914e-06,2.0545707400289113e-06,1.129254823092891e-08,2.6607373431632277e-06,0.0003742294256393302,0.014228602619035455,0.0009673101167023579,6.294351009345307e-10,0.00016805655079816078,6.061486019592513e-07,0.0006192186148572603,0.46404041419580205,0.0,2551.401452510912,70.37681634715057,567.3076101316128,1283.281735963163
10,0.0017730280546859414,0.20265591147287304,7.456159367684057e-08,0.20260846151655618,0.0007574813411339285,1.594228406360337e-05,0.00368575956557231,3.857323155418558e-06,3.145841512270503e-05,6.912432309406657e-08,0.09980150511026083,1.671285302066591e-05,0.016037473567798104,2.5110812406365852e-05,3.041735222733685e-06,0.004300816634465411,2.0867708303006432e-05,0.06047613249201882,0.4077862954274241,0.0,2866.265678465956,51.92509607526127,577.7323959404604,1218.6152749321627
11,0.5828256910829942,0.14529919705067373,3.87277801475195e-06,8.064011671154146e-10,0.12018097295044762,7.438188819327287e-09,0.06825161828223626,0.06725059450197096,9.741185107618693e-05,7.149874729065426e-07,1.2294243956060833e-08,9.845065900947759e-06,0.0004526827019782139,4.980401060133819e-06,1.689506905567875e-05,0.0008748518340253963,0.01473064936140799,2.0936817380761055e-10,1.3334829240435852e-09,0.0,2576.5338009949937,90.75450448568388,565.1340089319787,1232.1670752567002
12,0.3800129321431601,2.633241931595417e-06,0.07059999409597294,0.001918567339565226,0.002824669676203212,0.0035044521602660625,0.02523983487727856,7.235686539552225e-05,0.0037915720276406033,0.010881429296828492,0.001442127594327923,0.007139136257422207,0.014461123394125535,0.00013380304695732878,0.038017522579433756,0.003830813629649032,4.557677422253004e-06,0.00010279915233398455,0.43601967494408556,0.0,2731.064055692117,85.43871653603469,539.3574115994473,1253.4726584839432
13,0.6100033809260922,0.00036079041829200243,4.158723584974955e-09,2.3446530415911593e-09,0.1128817210566258,0.07833282303526858,8.312094688847774e-07,0.009970377912346307,0.1799906679144064,0.0018122344435475206,2.505185643520127e-10,1.7883021501949695e-10,2.1423544674940207e-06,5.815698770003673e-07,0.00013870603085874288,4.620353590311575e-10,0.004458403358078322,1.2543539575633567e-06,0.0020460780219522688,0.0,2803.962190410565,67.34142578366236,550.2346335997333,1284.7533871364017
14,1.761990470009308e-07,0.4684352055956807,0.1621675484823159,6.655789984504234e-06,1.368352803140819e-07,1.8979128628463652e-07,1.0998556625238418e-05,0.22144948736413,5.593445622089991e-09,9.029128827892302e-05,3.845468402346855e-08,7.5034278871535265e-06,0.00106798747110565,2.1077510095282175e-08,0.0052860847749683785,0.13868091164381086,0.002717636756394138,1.4667550083027362e-05,6.445334748212516e-05,0.0,2473.2619331416827,73.41926080134331,566.4983285443994,1218.8008078946418
