,Unnamed: 0,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,rho,E,Tg,Tmelt,F
0,0,0.5000000987208114,0.0,2.8686884082878488e-15,9.238594592612058e-48,5.160295415967724e-22,0.0,0.0,0.2241234114740886,0.1893710238100706,0.0865054659950265,0.0,0.0,0.0,0.0,0.0,5.249070321017476e-21,0.0,0.0,0.0,0.0,2702.345582030884,59.87101597245943,612.9060642961266,1091.966531444546,0.8806351488742464
1,1,0.5000000642349522,0.0,8.365901826849477e-07,0.0761587492670385,5.727417226238502e-20,0.0,0.0,0.2613664552320412,0.1616363823601436,0.0003555925267795,0.0,0.0,0.0,0.0,0.0,0.0004819197888621,0.0,0.0,0.0,0.0,2581.150413756565,54.557973556982994,595.7898928930188,1094.1706378736626,0.8786157504718646
2,2,0.5000017725107511,0.0,0.0003052012611795,0.099632658220455,0.0084745901573493,0.0,0.0,0.1953525437489577,0.1849769704411185,0.0050256056437485,0.0,0.0,0.0,0.0,0.0,0.0062306580164402,0.0,0.0,0.0,0.0,2592.126791933865,57.68983225528495,633.9721260073081,1094.768429692379,0.878068054667467
3,3,0.5002373928214477,0.0,1.3669713190334091e-06,0.0016213921555527,0.0048959842099195,0.0,0.0,0.2037332792947814,0.1614745261034917,0.0037220539059432,0.0,0.0,0.0,0.0,0.0,0.1243140045375445,0.0,0.0,0.0,0.0,2693.562670214095,44.14138370512089,690.5650761065125,1105.72527007658,0.8680294169344072
4,4,0.5000000370194364,0.0,0.0003419723551551,0.0055035548385407,0.0008842182009059,0.0,0.0,0.1954822270715787,0.1672468844778507,0.0006115189856005,0.0,0.0,0.0,0.0,0.0,0.1299295870509317,0.0,0.0,0.0,0.0,2688.61141315923,43.77715208509411,698.8624079963911,1107.4810176624117,0.8664208041092837
5,5,0.5002434266349042,0.0,4.3068609590878145e-08,0.0500275430794295,0.0021885930383166,0.0,0.0,0.2204091919865668,0.1783699550013495,0.0399876519581615,0.0,0.0,0.0,0.0,0.0,0.0087735952326622,0.0,0.0,0.0,0.0,2644.8682314368984,56.103047878977165,610.0010130015962,1107.5708332318468,0.866338515243814
6,6,0.5019793634810031,0.0,0.0004608527149941,0.1009054924336727,7.898568350895796e-06,0.0,0.0,0.2353798144539847,0.1587466395827045,3.0929468394991706e-11,0.0,0.0,0.0,0.0,0.0,0.0025199387343603,0.0,0.0,0.0,0.0,2580.6090355565607,56.66631996306637,609.0279287490482,1108.6541923452285,0.8653459435449756
7,7,0.5030214426437954,0.0,0.0065100208978222,0.0049346040290005,0.0010803814152178,0.0,0.0,0.2628751934970839,0.1810287967329436,0.0405494669244171,0.0,0.0,0.0,0.0,0.0,9.385971928230992e-08,0.0,0.0,0.0,0.0,2640.093537117306,55.51172344253388,598.3136274284931,1117.505909169364,0.857236016285174
8,8,0.5043690436607611,0.0,0.0032911587726888,0.0626870241679964,0.0020625049399744,0.0,0.0,0.2509424311514884,0.1746195645696132,0.00180700129832,0.0,0.0,0.0,0.0,0.0,0.0002212714391575,0.0,0.0,0.0,0.0,2580.599316413395,54.36000479044375,600.4834316053579,1120.34142084912,0.8546381255116648
9,9,0.5000007901677765,0.0,1.0064122462970222e-05,9.021927289289124e-05,0.0115473260832079,0.0,0.0,0.2661930333356263,0.1617284008675392,0.030392992427629,0.0,0.0,0.0,0.0,0.0,0.0300371737228651,0.0,0.0,0.0,0.0,2660.20706895174,49.08553211113859,594.5658762617066,1121.1226185771366,0.8539223935383529
10,10,0.5000334408998597,0.0,5.921444117611333e-05,1.1572927725828414e-06,0.0016379798151088,0.0,0.0,0.2443128924756179,0.1842197130111842,0.0003386356204814,0.0,0.0,0.0,0.0,0.0,0.0693969664437991,0.0,0.0,0.0,0.0,2640.80656138952,37.98771520707227,584.1336309474973,1123.0054501007749,0.8521973466347361
11,11,0.5031335808178075,0.0,0.0052238686352136,0.0113781251769747,9.022715248138248e-05,0.0,0.0,0.2221738809756746,0.1798973763383453,0.0643673493225723,0.0,0.0,0.0,0.0,0.0,0.0137355915809305,0.0,0.0,0.0,0.0,2681.975803781096,56.006058994413294,610.967758916923,1124.5849218992291,0.8507502373734631
12,12,0.5000000247489373,0.0,0.0026085718392511,4.289400213055435e-12,0.0013246318370593,0.0,0.0,0.255829648922421,0.164506185457379,0.0007064605892738,0.0,0.0,0.0,0.0,0.0,0.0750244766013887,0.0,0.0,0.0,0.0,2650.8735436413767,40.75403173457622,592.9366844133076,1131.3951470076888,0.8445107212039119
13,13,0.5004282224215236,0.0,5.823958149278158e-09,0.014272827026431,4.755018077108146e-05,0.0,0.0,0.1908036918429488,0.1623636890115448,0.0150563749077854,0.0,0.0,0.0,0.0,0.0,0.1170276387850369,0.0,0.0,0.0,0.0,2697.8232585894984,46.38425751885026,714.9233060477942,1132.0472835371977,0.8439132348718419
14,14,0.5021581694874764,0.0,2.0543722610788637e-13,0.0584456174448528,1.0832655205472797e-15,0.0,0.0,0.2747682682145518,0.1644724953734513,0.0001140056643268,0.0,0.0,0.0,0.0,0.0,4.144381513419731e-05,0.0,0.0,0.0,0.0,2579.5218361412326,53.26525537652793,591.721338148949,1137.4571886501458,0.8389566893993512
15,15,0.5001674473814196,0.0,0.0034568256283432,0.0090508026063314,0.0003030408935228,0.0,0.0,0.2073650772227576,0.1528221387869875,0.0325682368119972,0.0,0.0,0.0,0.0,0.0,0.0942664306686407,0.0,0.0,0.0,0.0,2706.8175277935165,48.51023375902966,687.7188936138155,1138.2129815739993,0.8382642332625696
